abajar/bajar		to go down
realizar		to realize, to carry out, to fulfill
reanimar		to reanimate/revive
reaparecer		to reappear
rearmar			to rearm
reasegurar		to reassure/reinsure
reasumir		to resume/reassume
reatar			to tie again/retie
rebajar			to lower/reduce/bring down
rebatir			to knock down again/beat again
rebuscar		to search carefully/search into
recalentar		to reheat/warm up/warm over
recapitular		to recapitulate
recargar		to reload/overload
rechazar		to reject/repel
recibir			to receive, to get
reciclar		to recycle
recitar			to recite
reclamar		to reclaim/claim/demand/protest
reclinarse en/sobre	to lean on/upon
reclinar		to recline/lean
recoger			to pick (up), to gather, to harvest, to collect
recomendar		to recommend, to commend, to advise
reconocer		to recognize, to acknowledge, to be grateful for
reconstruir		to rebuilb/reconstruct
reconvenir		to reprimand/rebuke
recopilar		to compile
recordar		to remember, to recall, to remind
recrearse		to amuse/entertain
recrear			to amuse/entertain
recular			to recoil/go backwards
recuperar		to recuperate/recover
redactar		to edit
reeditar		to reprint/publish again
reeligir		to reelect/elect again
referir			to refer, to relate
refinar			to refine
reflexionar		to reflect
reformar		to reform/alter/revise
regalarse		to indulge oneself
regalar			to give as a present, to make present of, to give gift
regar			to water, to irrigate, to sprinkle
registrar		to register/record/examine
regresar		to return, to go back, to regress
rehacer			to do over/redo
rehuir			to avoid/shun
rehusar			to refuse
reirse			to laugh
reir			to laugh
reiterar		to reiterate/repeat
relanzar		to throw back/repel
relatar			to relate/narrate
relavarse		to wash oneself again
relavar			to wash again
releer			to reread/read again
rellenar		to refill, to fill again, to stuff
relumbrar		to dazzle/sparkle
remandar		to send over and over again
remarcar		to mark again
rematar			to kill off/terminate/finish off
remediar		to remedy
remedir			to remeasure
rememorar		to remember
remendar		to mend
remeter			to put back
remirar			to look at over again
remitir			to remit, to forward, to transmit
remojar			to soak
remontar		to elevate/raise/frighten away
remorder		to bite again
remover			to remove/take away
renacer			to be born again/reborn
renegar			to renege/deny/abhor
renir			to scold, to quarrel
renunciar		to renounce
reorganizar		to reorganize
repararse		to restrain oneself
reparar			to mend, to repair, to notice, to observe
repartir		to distribute, to deal cards
repasar			to review/go over again
repensar		to rethink/reconsider
repesar			to weigh again
repetir			to repeat
repintar		to repaint
replantar		to replant
replicar		to retort/reply
reponer			to put back
represar		to repress/hold back
representar		to represent
reprobar		to reprove/fail in an exam
reprochar		to reproach
reproducir		to reproduce
repudiar		to repudiate
repulir			to polish again
repulsar		to repulse/reject
requemar		to burn again/overcook
requerir		to require
resaltar		to bounce/rebound
resaludar		to return someone's greeting
rescatar		to ransom/rescue
reservar		to reserve
resistir		to resist
resolver		to resolve, to solve (a problem)
respetar		to respect
respirar		to breathe/respire
responder		to answer, to reply, to respond
restaurar		to restore
restituir		to refund/give back
resucitar		to resuscitate/bring back to life
resultar		to result
resumir			to summarize/sum up
resurgir		to resurge/spring up again
retacar			to hit twice (a ball)
retajar			to cut around
retardar		to retard/slow down
retar			to challenge
retemblar		to shake/tremble
retener			to retain
retirar			to retire, to withdraw
retocar			to touch up/retouch
retostar		to toast again
retraducir		to translate over again
retraer			to bring again/bring back
retransmitir		to retransmit/rebroadcast
retrasar		to delay, to retard
retratar		to paint a portrait
retribuir		to repay/reward
retrotraer		to antedate/date back
reunirse		to assemble, to get together, to meet, to gather
revender		to resell
reventar		to burst/explode
reverter		to overflow
revertir		to revert
rever			to review/revise
revivir			to revive
revocar			to revoke, to repeal
revolar			to fly again
revolcarse		to wallow/roll about
revolcar		to knock down
revolotear		to whirl up in the air
revolver		to revolve, to turn around, to turn over/upside down
rezar			to pray
ridiculizar		to ridicule
rimar			to rhyme
rizar			to curl
robar			to rob, to steal
rociar			to spray/sprinkle
rodar			to roll
rodearse de		to surround oneself with
rodear			to surround
rogar			to supplicate, to ask, to ask for, to beg, to pray
romper			to break, to shatter, to tear
roncar			to snore
ronchar			to crunch/chew
rondar			to patrol/prowl
rotar			to rotate
rotular			to label
rozar			to scrape/scratch/rub
rubricar		to initial/sign and seal
rular			to roll
rumbar a		to go in the direction of
rumiar			to ruminate/meditate
saber			to know, to know how
saborear		to savor/taste/relish
sacar			to take out, to get
sacrificar		to sacrifice
sacudir			to shake, to jerk, to jolt
salar			to salt/season with salt
saldar			to settle/pay a debt
salir			to go out, to leave
salivar			to salivate
salpicar		to splash
saltar			to jump, to leap, to hop, to spring
saltear			to hold up/rob
saludar			to greet, to salute
salvar			to save/rescue
sanar			to cure/heal
sancionar		to sanction/authorize/punish
sangrarse		to be bled
sangrar			to bleed
saquear			to pillage/loot/sack
satirizar		to satirize
satisfacer		to satisfy
secarse			to dry oneself
secar			to dry, to wipe dry
sedar			to soothe/quiet
segregar		to segregate
seguir			to follow, to pursue, to continue
sellar			to seal/stamp
sembrar			to sow
semejar			to resemble
señalar			to signal, to indicate, to point out, to show
sentarse		to sit down
sentirse		to fell (well, ill)
sentir			to feel sorry, to regret, to feel
separarse		to separate/come apart
separar			to separate, to detach, to sort, to set apart
sepultar		to bury
serrar			to saw
ser			to be
servir			to serve
signarse		to cross oneself
signar			to sign
significar		to signify/mean
silbar			to whistle
simbolizar		to symbolize
simpatizar con		to get along well with
simplificar		to simplify
simular			to simulate/feign/pretend
sintonizar		to tune
sisar			to snitch
sitiar			to besiege
situar			to situate/place/locate
sobar			to knead/massage/rub
sobregirar		to overdraw
sobreponer		to superimpose
sobresalir		to stand out/excel
sobresaltar		to attack/startle
sobrevenir		to supervene/occur later
socorrer		to help, to aid, to assist
sofocar			to choke, to smother, to suffocate, to stifle
soler			to be accustomed to, to be in the habit of
solicitar		to solicit/request
solidificar		to solidify
sollozar		to sob, to whimper
soltar			to loosen/untie/let go
solucionar		to solve
solventar		to settle/pay a debt
sombrar			to shade
someter			to subdue, to subject, to surrender, to submit
sonarse			to blow one's nose
soñar			to dream
sonar			to ring, to echo, to resound, to sound
sonorizar		to voice (phonetics)
sonreír			to smile
sopapear		to slap
soplarse		to gobble up/wolf down
soplar			to blow, to blow out
soportar		to support/endure/put up with
sorber			to sip
sorprender		to surprise, to astonish
sorregar		to irrigate
sortear			to raffle/avoid/dodge
sosegar			to quiet/calm down
sospechar		to suspect
sostener		to sustain, to support, to maintain, to uphold
soterrar		to bury/hide
suavizar		to smooth/soften
subarrendar		to sublet/sublease
subastar		to auction
subir			to go up, to come up, to climb, to rise, to mount/get on
sublimar		to exalt
subordinar		to subordinate
subrayar		to underline, to underscore, to emphasize
subscribir		to subscribe, to agree to, to sign
subsistir		to subsist
substituir		to subsitute
substraer		to subtract/take away/remove
subvencionar		to subsidize
subvenir		to provide for needs
subvertir		to subvert/disturb
suceder			to happen
sudar			to sweat/perspire
sufrir			to suffer, to endure, to bear up, to undergo
sugerir			to hint, to insinuate, to suggest
sujetar			to secure/fasten/subdue/subject
sumar			to add/add up
sumergir		to submerge, to plunge, to immerse, to sink
suminstrar		to furnish/provide/supply
sumir			to sink/submerge
superar			to surpass/exceed
superponer		to superpose
supervenir		to happen/take place
suplantar		to supplant/take the place of
suplicar		to supplicate/entreat/implore
suponer			to suppose, to assume
suprimir		to suppress, to abolish, to cancel (math), to delete
surcar			to plow
surgir			to surge, to spout up, to spring up, to appear/emerge
surtir			to supply/stock/provide
suscribir		to subscribe
suspender		to suspend/hang
suspirar		to sigh
sustraer		to subtract/take away
susurrar		to murmur/whisper
sutilizar		to file/refine/polish/taper
tacar			to mark/stain
tachar			to cross out/strike out
tajar			to slice/carve/chop
talar			to fell/cut down
tambalear		to stagger
tamizar			to sift
tañer			to pluck, to play (stringed instrument)
tapar			to cover
tapiar			to wall up/wall in
tapizar			to upholster/hang tapestry
tardar			to take a long time
tarjar			to tally
tartamudear		to stammer/stutter
tascar			to gnaw/nibble
teclear			to run one's fingers over piano or typewriter keys
tejar			to tile
tejer			to weave
telefonear		to telephone
telegrafiar		to telegraph, to cable
teleguiar		to guide by remote control
temblar			to tremble/shudder/shake
temblar			to tremble, to quake, to quiver, to shake, to shiver
temer			to fear, to dread
tender			to extend, to offer, to stretch, to spread/hang clothes
tener			to have, to hold
tentar			to examine by touch, to feel w fingers, to attempt/try
teorizar		to theorize
terminar		to end, to terminate, to finish
testar			to make a will/testament
testificar		to testify/bear witness
timarse con		to flirt with
timar			to cheat/swindle
timbrar			to put a seal or stamp on
tintar			to tint/dye
tirar			to pull, to draw, to pitch (ball), to shoot (gun),
titular			to title/entitle
tocar			to play (music/instrument), to touch
tolerar			to tolerate
tomar			to take, to have (something to drink)
tontear			to act foolishly
torcer			to twist
tornar			to turn
tornear			to go round
torturarse		to worry excessively
torturar		to torture
tostarse		to become sunburned
tostar			to toast, to tan, to roast (coffee)
trabajar		to work, to labor
trabarse to palabras	to insult each other
trabar			to bind/join/lock
traducir		to translate
traer			to bring
tragar			to swallow
traicionar		to betray
trajinar		to rush about
tramitar		to negotiate/transact
trancar			to stride along
tranquilizar		to tranquilize
transcribir		to transcribe
transferir/trasferir	to transfer
transformar		to transform
transfregar		to rub together
transigir con		to agree to
transitar		to journey/travel
translimitar		to go beyond the limits
transmitir		to transmit
transpirar		to perspire/sweat
transponer		to transfer
transportar		to transport
tranzar			to break off/cut off/braid
trascender		to transcend
trascolarse		to percolate
trascolar		to strain
trasegar		to decant
trasladarse		to move/change residence
trasladar		to transfer/move
traspasar		to pierce
trasquilar		to shear/clip/crop (hair)
trastornar		to turn upside down/upset/disturb
trasvolar		to fly over/fly across
tratarse de		to be a question of
tratar			to try, to treat a subject
travesar/atravesar	to cross/cross over/go through
trazar			to trace/draw/sketch
trenzar			to braid/plait
trepar			to climb/mount
tributar		to pay tribute
tricotar		to knit
trillar			to make frequent use of
trinar			to trill/warble
trinchar		to slice (meat)
triplicar		to triplicate/triple
triscar			to mix up
triturar		to crush/grind
triunfar		to triumph
trizar			to tear to shreds
trocar			to exchange
trocear			to cut into pieces
trompicar		to trip/stumble
tronar			to thunder
tronchar		to crack/split
tronzar			to slice
tropezar		to stumble, to blunder
trotar			to trot
trucar			to pocket a ball in billiards
truhanear		to cheat/trick
trujamanear		to interpret
tullecer		to cripple/disable
tullir			to cripple/disable
tumbar			to knock down/knock over/overthrow
tundir			to clip/shear/beat/thrash
turbar			to disturb/upset/worry
tutearse		to use the tú form with each other
tutear			to use the tú form with someone
ubicar			to locate/situate
ufanarse de		to boast of
ultimar			to finish off
ultrajar		to outrage
ulular			to ululate/howl/screech/hoot
uncir			to yoke
ungir			to anoint
unificar		to unify
uniformar		to make uniform/standardize
unir			to connect, to unite, to join, to bind, to attach
untar			to apply ointment/spread butter on
urdir			to scheme/plot
urgir			to urge/be urgent
usar			to use, to employ, to wear
usurpar			to usurp/encroach
utilizarse		to use/make use of
utilizar		to utilize
vacar			to become vacant
vaciarse		to become empty
vaciar			to empty
vacilar			to vacillate
vacunarse		to be vaccinated
vacunar			to vaccinate
vagabundear		to roam/idle/loaf
vagar			to roam/wander
vaguear			to idle/loaf
valer			to be worth, to cost
validar			to validate
vallar			to fence in/barricade
valorar/valorear	to value/increase in value
valorizar		to value
valsar			to waltz
variar			to vary
vaticinar		to vaticinate/prophesy/predict/foretell
vedar			to prohibit/forbid
velar			to stay awake, to guard, to watch over
vencer			to conquer, to overcome, to defeat
vendar			to bandage
vender			to sell
vengar			to avenge
venir			to come
ventar			to sniff/scent/blow (wind)
ventilar		to ventilate
veranear		to spend the summer
verificar		to verify
versar			to go round/turn
versificar		to versify/write verses
verter			to pour
ver			to see
vestirse		to dress oneself, to get dressed
vestir			to clothe
viajar			to travel
vibrar			to vibrate
vigilar			to watch (over), to keep guard, to look out for
vincular		to relate/connect
vindicar		to vindicate
violar			to violate/rape
visar			to visa/examine and endorse
visitar			to visit
vivir			to live
vocalizar		to vocalize
vocear			to shout/cry out
vociferar		to vociferate/shout
volar			to fly
volcar			to overturn/turn over/tilt
voltear			to turn over/roll over
volver			to return, to go back
vomitar			to vomit
votar			to vote, to vow
yacer			to lie down, to be lying down, to lie in a grave
yapar			to give a little more/add a tip
yermar			to strip/lay waste
yuxtaponer		to juxtapose
zafarse de		to escape from/get out of
zafar			to loosen/untie
zaherir			to wound with words/reproach/reprimand
zahondar		to dig
zambullir		to dive/plunge
zampar			to stuff/cram food down one's throat/gobble down
zanjar			to dig a ditch
zapatear		to tap one's feet
zapear			to chase away/scare away
zapuzar			to plunge into water
zarandar/zarandear	to shake about
zumbar			to buzz, to hum, to flutter around
zunchar			to fasten with a band
zurcir			to darn, to mend
zurrar			to spank/wallop
